english,spanish,filePath,level
Bring your customs form back,en español,@drawable/a30,1
Come this way,en español,@drawable/a31,1
Complete your form completely,en español,@drawable/a32,1
Complete your form,en español,@drawable/a33a,1
Follow me,en español,@drawable/a34a,1
Follow the signs,en español,@drawable/a34b,1
Go past the scanner,en español,@drawable/a35,1
Have your customs form and passport ready,en español,@drawable/a36,1
Lay your bag flat on the table,en español,@drawable/a37,1
Open your bag,en español,@drawable/a38,1
Proceed to the next scanner,en español,@drawable/a39,1
Put the bag on the scale,en español,@drawable/a40,1
Put your purse on the belt,en español,@drawable/a41,1
Put your backpack on the belt,en español,@drawable/a42,1
Put your bags separately,en español,@drawable/a43,1
Put your bags through the scanner,en español,@drawable/a44,1
Put your carry-on on the belt,en español,@drawable/a45,1
Step out of the line,en español,@drawable/a46,1
Step to the side,en español,@drawable/a47,1
Complete the family name space,en español,@drawable/a48,1
Complete the flight number space,en español,@drawable/a49,1
Complete the nationality space,en español,@drawable/a50,1
Complete the description space,en español,@drawable/a51,1
Check the days-outside-of-the-country box,en español,@drawable/a52a,1
Check the duty-free box,en español,@drawable/a53,1
Sign and date your form,en español,@drawable/a54,1
Keep your distance,en español,@drawable/a55,1
Wait in the marked areas,en español,@drawable/a56,1
List the items and their value,en español,@drawable/a57,1
You have to call the warehouse,en español,@drawable/a58,2
You have to visit the warehouse,en español,@drawable/a59,2
You have to ask a customs broker,en español,@drawable/a60,2
You have to ask the warehouse staff,en español,@drawable/a61,2
You have to pay duty,en español,@drawable/a62,2
You have to hire a customs broker,en español,@drawable/a63,2
You have to pay the taxes,en español,@drawable/a64,2
You need to call the warehouse,en español,@drawable/a65,2
You need to visit the warehouse,en español,@drawable/a66,2
You need to ask a customs broker,en español,@drawable/a67,2
You need to ask the warehouse staff,en español,@drawable/a68,2
You need to pay duty,en español,@drawable/a69,2
You need to hire a customs broker,en español,@drawable/a70,2
You need to pay the taxes,en español,@drawable/a71,2
Are you bringing a firearm?,en español,@drawable/a72,3
Do you have a firearm?,en español,@drawable/a73,3
Are you bringing any auto parts?,en español,@drawable/a74,3
Are you arriving with a group?,en español,@drawable/a75,3
Are you traveling alone?,en español,@drawable/a76,3
Do you have a prescription?,en español,@drawable/a77,3
Do you have a receipt or invoice?,en español,@drawable/a78,3
Do you have anything to declare?,en español,@drawable/a79,3
Do you have anything to identify yourself?,en español,@drawable/a80,3
Do you have the paperwork for these?,en español,@drawable/a81,3
Do you have the paperwork for this?,en español,@drawable/a82,3
Is this staying in Costa Rica?,en español,@drawable/a83,3
Are these staying in Costa Rica?,en español,@drawable/a84,3
Are these for personal use?,en español,@drawable/a85,3
Is this for personal use?,en español,@drawable/a86,3
Are you a resident?,en español,@drawable/a87,3
Is this for commercial use?,en español,@drawable/a88,3
Are these for commercial use?,en español,@drawable/a89,3
Do I have to put my purse on the belt?,en español,@drawable/a90,3
Do I have to put my backpack on the belt?,en español,@drawable/a91,3
Do we both need a customs form?,en español,@drawable/a92,3
Do you have a pen?,en español,@drawable/a93,3
Do you have a customs form?,en español,@drawable/a94,3
Do I have to take the liquids out?,en español,@drawable/a95,3
Do I pay taxes here?,en español,@drawable/a96,3
Do I have to pay any additional fees?,en español,@drawable/a97,3
What is this item?,en español,@drawable/a112,4
What are these items?,en español,@drawable/a113,4
How long are you staying in Costa Rica?,en español,@drawable/a114,4
What is the purpose of your visit?,en español,@drawable/a115,4
Where will you be staying?,en español,@drawable/a116,4
What is in these boxes?,en español,@drawable/a117,4
What is in this box?,en español,@drawable/a118,4
Why do you have two bikes?,en español,@drawable/a119,4
Why do you have two laptops?,en español,@drawable/a120,4
What is the value of that bike?,en español,@drawable/a121,4
What is the value of that laptop?,en español,@drawable/a122,4
What are these items used for?,en español,@drawable/a123,4
What is this item used for?,en español,@drawable/a124,4
How many are these?,en español,@drawable/a125,4
How many are there?,en español,@drawable/a126,4
What is the value of these items?,en español,@drawable/a127,4
What is the value of this item?,en español,@drawable/a128,4
What is your flight number?,en español,@drawable/a129,4
How long is it going to take?,en español,@drawable/a130,4
Where do I have to pay duty?,en español,@drawable/a131,4
Where is the exit?,en español,@drawable/a132,4
Where are the taxis?,en español,@drawable/a133,4
Where is the bathroom? ,en español,@drawable/a134,4
Where is the domestic terminal?,en español,@drawable/a135,4
Where do I meet my tour guide?,en español,@drawable/a136,4
Where is the car rental counter?,en español,@drawable/a137,4
Where can I get a customs form?,en español,@drawable/a138,4
What is the warehouse’s phone number?,en español,@drawable/a139,4
Where is the warehouse located?,en español,@drawable/a140,4
Near the baggage claim area,en español,@drawable/a144g,4
This exceeds the quantity for a personal exemption,en español,@drawable/a154,5
This exceeds the value for a personal exemption,en español,@drawable/a155,5
It takes a few days,en español,@drawable/a156,5
This merchandise exceeds the quantity for a personal exemption,en español,@drawable/a157,5
"You may call DHL, UPS, FEDEX or any authorized broker at your convenience",en español,@drawable/a160,5
The warehouse is outside of the airport,en español,@drawable/a161,5
This is not the line for declaration,en español,@drawable/a162,5
This is not considered for personal use,en español,@drawable/a163a,5
These are not considered for personal use,en español,@drawable/a163b,5
I can stamp your passport for a personal exemption,en español,@drawable/a163c,5
I have to confiscate this gun,en español,@drawable/a167,5
I have to weigh this item,en español,@drawable/a168,5
I have to weigh these items,en español,@drawable/a169,5
I have to check these bags,en español,@drawable/a170,5
I have to check this bag,en español,@drawable/a171,5
I have to inspect the contents of that bag,en español,@drawable/a172,5
I have to see the contents of that bag,en español,@drawable/a173,5
I have to inspect the contents of those bags,en español,@drawable/a174,5
I have to see the contents of those bags,en español,@drawable/a175,5
I have to see your customs form and passport,en español,@drawable/a176,5
I have to retain your merchandise,en español,@drawable/a177,5
I have to speak with my manager,en español,@drawable/a178,5
I need to confiscate this gun,en español,@drawable/a179,5
I need to weigh this item,en español,@drawable/a180,5
I need to weigh these items,en español,@drawable/a181,5
I need to check these bags,en español,@drawable/a182,5
I need to check this bag,en español,@drawable/a183,5
I need to inspect the contents of that bag,en español,@drawable/a184,5
I need to see the contents of that bag,en español,@drawable/a185,5
I need to inspect the contents of those bags,en español,@drawable/a186,5
I need to see the contents of those bags,en español,@drawable/a187,5
I need to see your customs form and passport,en español,@drawable/a188,5
I need to retain your merchandise,en español,@drawable/a189,5
I need to speak with my manager,en español,@drawable/a190,5
That information is on this card,en español,@drawable/a191,5